Time [s],AmbientAirTemperature [C],AcceleratorPedalPosition [%],VehicleAcceleration [m/s^2],TotalVehicleDistance [km],VehicleSpeed [kph],CruiseControlActive,MotorSpeed [rpm],RegenTorqueAvailable [Nm],TractionTorqueAvailable [Nm],BatteryMinVoltage [V],BatteryMaxVoltage [V],CommandedMotorTorque [Nm],BatteryVoltage [V],BatteryCurrent [A],BatterySOC [%],BatterySOH [%],BatteryMaxSOC [%],BatteryMinSOC [%],BrakePedalActive,BatteryMaxEnergy [kWh],BatteryEnergy_calc [kWh],MotorPower_calc [kW]
0,25.78125,28.8,0.379886,17822.935,54.929688,0,1670,1331.75,1267.375,450,690,209.375,627,586,71,95,100,8,0,141,100.11,367.422
0.1,25.78125,28.8,0.463358,17822.935,54.937779,0,1640,1341.769553,1278.019553,450,690,207.050974,627,586,71,95,100,8,0,141,100.11,367.422
0.2,25.78125,27.2,0.436539,17822.935,54.951968,0,1672,1334.224359,1271.388518,450,690,204.999967,627,586,71,95,100,8,0,141,100.11,367.422
0.3,25.78125,27.201546,0.442587,17822.935,54.893038,0,1640,1337.755802,1276.137275,450,690,199.995774,627,586,71,95,100,8,0,141,100.11,367.422
0.4,25.78125,28,0.463258,17822.935,55.001145,0,1674,1333.33041,1273.467523,450,690,194.546546,627,585,71,95,100,8,0,141,100.11,366.795
0.5,25.78125,28.011987,0.509769,17822.935393,54.963534,0,1647,1326.565617,1268.169149,450,690,189.72062,627,584,71,95,100,8,0,141,100.11,366.168
0.6,25.78125,28.8,0.479984,17822.937467,55.07728,0,1667,1334.409417,1277.159417,450,690,187.048849,627,584,71,95,100,8,0,141,100.11,366.168
0.7,25.78125,28.8,0.529789,17822.939541,54.975589,0,1645,1328.007211,1271.257211,450,690,185.448744,627,583,71,95,100,8,0,141,100.11,365.541
0.8,25.78125,28.8,0.519535,17822.94135,54.935373,0,1673,1330.729486,1274.354486,450,690,184.875,628,582,71,95,100,8,0,141,100.11,365.496
0.9,25.789556,28.8,0.51646,17822.943612,54.954544,0,1649,1324.394396,1268.013529,450,690,184.197836,628,582,71,95,100,8,0,141,100.11,365.496
1,25.802556,28.8,0.479984,17822.945,55.073966,0,1673,1330.116468,1273.952678,450,690,184,628,581,71,95,100,8,0,141,100.11,364.868
1.1,25.8125,28.8,0.522756,17822.945,55.047189,0,1645,1326.015415,1269.765415,450,690,183.474338,628,580,71,95,100,8,0,141,100.11,364.24
