Time [s],AmbientAirTemperature [C],AcceleratorPedalPosition [%],VehicleAcceleration [m/s^2],TotalVehicleDistance [km],VehicleSpeed [kph],CruiseControlActive,MotorSpeed [rpm],RegenTorqueAvailable [Nm],TractionTorqueAvailable [Nm],BatteryMinVoltage [V],BatteryMaxVoltage [V],CommandedMotorTorque [Nm],BatteryVoltage [V],BatteryCurrent [A],BatterySOC [%],BatterySOH [%],BatteryMaxSOC [%],BatteryMinSOC [%],BrakePedalActive,BatteryMaxEnergy [kWh],BatteryEnergy_calc [kWh],MotorPower_calc [kW]
0,26.1875,30,-0.269527,17820.535,63.035156,0,1890,1209.375,1107.875,450,690,238.625,623,619,72,95,100,8,0,141,101.52,385.637
0.1,26.1875,30,-0.323565,17820.535,63.033447,0,1902,1208.526062,1109.764216,450,690,229.618254,623,618,72,95,100,8,0,141,101.52,385.014
0.2,26.1875,30,-0.336239,17820.536333,63.039915,0,1914,1197.484853,1100.283252,450,690,221.550031,623,616,72,95,100,8,0,141,101.52,383.768
0.3,26.1875,30.769851,-0.309566,17820.538428,63.090597,0,1901,1197.529877,1104.706502,450,690,214.758674,623,614,72,95,100,8,0,141,101.52,382.522
0.4,26.1875,31.057008,-0.269527,17820.54,63.114911,0,1905,1198.471944,1106.712592,450,690,210.60388,624,612,72,95,100,8,0,141,101.52,381.888
0.5,26.1875,30,-0.309566,17820.54,63.082031,0,1901,1194.69482,1105.29054,450,690,207.731133,624,610,72,95,100,8,0,141,101.52,380.64
0.6,26.1875,30,-0.293654,17820.544255,63.071552,0,1905,1197.024024,1107.298861,450,690,205.156102,624,608,72,95,100,8,0,141,101.52,379.392
0.7,26.1875,30,-0.215888,17820.54677,63.075774,0,1907,1190.761755,1102.25,450,690,202.603197,624,606,72,95,100,8,0,141,101.52,378.144
0.8,26.1875,30,0.003859,17820.548848,63.131225,0,1902,1193.632696,1106.324044,450,690,200.211192,624,604,72,95,100,8,0,141,101.52,376.896
0.9,26.1875,30,0.019535,17820.550927,63.14363,0,1897,1193.870672,1108.364181,450,690,198.390452,625,602,72,95,100,8,0,141,101.52,376.25
