Time [s],AmbientAirTemperature [C],AcceleratorPedalPosition [%],VehicleAcceleration [m/s^2],TotalVehicleDistance [km],VehicleSpeed [kph],CruiseControlActive,MotorSpeed [rpm],RegenTorqueAvailable [Nm],TractionTorqueAvailable [Nm],BatteryMinVoltage [V],BatteryMaxVoltage [V],CommandedMotorTorque [Nm],BatteryVoltage [V],BatteryCurrent [A],BatterySOC [%],BatterySOH [%],BatteryMaxSOC [%],BatteryMinSOC [%],BrakePedalActive,BatteryMaxEnergy [kWh],BatteryEnergy_calc [kWh],MotorPower_calc [kW]
0,25.40625,47.2,-0.659664,17838.29,88.160156,0,2671,894.25,775.25,450,690,365.125,608,701,63,95,100,8,0,141,88.83,426.208
0.1,25.40625,47.2,-0.563231,17838.29176,88.166532,0,2673,893.25,774.625,450,690,358.698809,608,701,63,95,100,8,0,141,88.83,426.208
0.2,25.40625,50,-0.471416,17838.295946,88.30902,0,2673,892.875,774.410508,450,690,352.350635,608,701,63,95,100,8,0,141,88.83,426.208
0.3,25.40625,48.8,-0.421092,17838.300066,88.43716,0,2664,893.75,775.5,450,690,348.549603,608,701,63,95,100,8,0,141,88.83,426.208
0.4,25.40625,46,-0.289547,17838.302148,88.453786,0,2681,894.173606,776.067705,450,690,346.9004,608,701,63,95,100,8,0,141,88.83,426.208
0.5,25.40625,46.717624,-0.28095,17838.30423,88.315014,0,2666,891.705559,774.025466,450,690,343.599619,608,707,63,95,100,8,0,141,88.83,429.856
0.6,25.40625,52.995767,-0.180913,17838.306317,88.382398,0,2684,892.02153,774.372108,450,690,339.974231,608,714,63,95,100,8,0,141,88.83,434.112
0.7,25.40625,58.263687,-0.08984,17838.308405,88.463753,0,2668,892.979868,775.375841,450,690,342.707419,607,722,63,95,100,8,0,141,88.83,438.254
0.8,25.40625,64.250368,-0.050967,17838.31,88.496404,0,2680,892.359442,775.425831,450,690,356.905763,607,729,63,95,100,8,0,141,88.83,442.503
0.9,25.40625,66.706308,0.041306,17838.310822,88.445494,0,2677,890.848622,774.835432,450,690,378.102751,607,736,63,95,100,8,0,141,88.83,446.752
1,25.40625,74.345946,0.159672,17838.314401,88.433594,0,2680,892.054037,775.964518,450,690,403.249599,607,743,63,95,100,8,0,141,88.83,451.001
1.1,25.40625,80.8,0.109867,17838.316732,88.478208,0,2684,887.375,772,450,690,429.748231,607,750,63,95,100,8,0,141,88.83,455.25
1.2,25.40625,82,0.158506,17838.318811,88.6211,0,2685,891.3167,775.201416,450,690,456.797717,606,758,63,95,100,8,0,141,88.83,459.348
1.3,25.40625,82,0.120859,17838.321789,88.658085,0,2681,888.720573,772.595573,450,690,484.367842,606,765,63,95,100,8,0,141,88.83,463.59
1.4,25.40625,82,-0.104999,17838.325965,88.68907,0,2695,886.271433,770.222622,450,690,511.92351,606,772,63,95,100,8,0,141,88.83,467.832
1.5,25.40625,82,-0.04317,17838.33007,88.753819,0,2689,886.916882,770.395941,450,690,538.88301,605,781,63,95,100,8,0,141,88.83,472.505
1.6,25.40625,82,0.019535,17838.332151,88.899108,0,2698,884.25,767.690976,450,690,566.188247,604,790,63,95,100,8,0,141,88.83,477.16
1.7,25.40625,82,-0.080813,17838.334233,88.90299,0,2700,885.25,768.138069,450,690,593.112418,603,799,63,95,100,8,0,141,88.83,481.797
1.8,25.40625,82,-0.108637,17838.335,89.04489,0,2705,883.178808,766.178808,450,690,620.32324,602,809,63,95,100,8,0,141,88.83,487.018
1.9,25.40625,82,-0.208246,17838.336114,89.08725,0,2706,881.375,632.934357,450,690,647.163399,601,818,63,95,100,8,0,141,88.83,491.618
2,25.40625,82,-0.100827,17838.340484,89.235749,0,2710,881.105728,633.038275,450,690,670.503314,600,827,63,95,100,8,0,141,88.83,496.2
2.1,25.40625,82,-0.108639,17838.342569,89.245747,0,2712,880.764704,630.922812,450,690,684.571854,599,836,63,95,100,8,0,141,88.83,500.764
2.2,25.40625,82,-0.129879,17838.344655,89.32925,0,2717,878.298637,630.687266,450,690,689.96948,598,845,63,95,100,8,0,141,88.83,505.31
2.3,25.40625,82,-0.10082,17838.346734,89.563073,0,2726,877.29075,626.754123,450,690,681.823244,597,855,63,95,100,8,0,141,88.83,510.435
2.4,25.40625,82,0.018381,17838.348813,89.784721,0,2713,878.648458,630.121037,450,690,663.72349,596,864,63,95,100,8,0,141,88.83,514.944
2.5,25.40625,82,0.040765,17838.351791,89.79166,0,2732,874.328398,624.929006,450,690,647.086724,596,865,63,95,100,8,0,141,88.83,515.54
2.6,25.40625,82,0.109867,17838.355968,89.826935,0,2729,875.375,628.109959,450,690,637.4812,596,865,63,95,100,8,0,141,88.83,515.54
2.7,25.40625,82,0.118474,17838.36,89.84571,0,2735,873.25,626.637998,450,690,632.561707,596,864,63,95,100,8,0,141,88.83,514.944
2.8,25.40625,82,0.160886,17838.36,90.075731,0,2738,872.355347,624.674132,450,690,629.845558,596,864,63,95,100,8,0,141,88.83,514.944
2.9,25.40625,82,0.111023,17838.362032,90.313533,0,2733,873.25,624.392265,450,690,628.270879,596,864,63,95,100,8,0,141,88.83,514.944
3,25.40625,82,0.111024,17838.366329,90.312441,0,2742,869.875,623.388591,450,690,627.145593,595,864,63,95,100,8,0,141,88.83,514.08
3.1,25.40625,82,0.068585,17838.368429,90.431928,0,2748,870.54094,622.516657,450,690,626.145146,595,864,63,95,100,8,0,141,88.83,514.08
3.2,25.40625,82,0.087477,17838.370522,90.553375,0,2750,866.625,622.580273,450,690,625.196866,595,863,63,95,100,8,0,141,88.83,513.485
3.3,25.408188,82,0.002357,17838.372591,90.705413,0,2742,871.348984,622.708127,450,690,624.19804,595,863,63,95,100,8,0,141,88.83,513.485
3.4,25.434286,79.2,-0.08984,17838.37466,90.727909,0,2760,863.75,618.060148,450,690,623.447442,595,863,63,95,100,8,0,141,88.83,513.485
3.5,25.460385,79.2,-0.048565,17838.376737,90.900414,0,2757,868.579653,621.046528,450,690,622.520733,595,863,63,95,100,8,0,141,88.83,513.485
3.6,25.46875,78,-0.196075,17838.378816,90.970047,0,2769,859.279209,616.521043,450,690,621.696942,595,862,63,95,100,8,0,141,88.83,512.89
3.7,25.46875,74.248095,-0.180912,17838.380989,91.024985,0,2747,869.805252,632.388971,450,690,620.696866,595,862,63,95,100,8,0,141,88.83,512.89
3.8,25.46875,72.8,-0.231342,17838.383284,91.106124,0,2774,858.847,614.233249,450,690,620.447509,595,861,63,95,100,8,0,141,88.83,512.295
3.9,25.46875,72,-0.199703,17838.390065,91.098267,0,2772,863.915518,616.056467,450,690,620.071795,595,861,63,95,100,8,0,141,88.83,512.295
4,25.46875,72,-0.219723,17838.392147,91.315713,0,2775,858.5,616.518009,450,690,619.572397,595,861,63,95,100,8,0,141,88.83,512.295
4.1,25.46875,72,-0.229977,17838.394229,91.568401,0,2775,860.875,614.524795,450,690,618.822078,595,860,63,95,100,8,0,141,88.83,511.7
4.2,25.46875,63.894494,-0.202044,17838.396324,91.576721,0,2779,859.982311,614.035082,450,690,615.345727,595,860,63,95,100,8,0,141,88.83,511.7
4.3,25.46875,63.2,-0.129879,17838.398427,91.665062,0,2785,859.783702,630.779869,450,690,596.241013,595,859,63,95,100,8,0,141,88.83,511.105
4.4,25.46875,70.161564,-0.182004,17838.401044,91.656995,0,2784,854.414546,658.05648,450,690,570.940318,595,859,63,95,100,8,0,141,88.83,511.105
4.5,25.46875,73.935257,-0.049801,17838.405183,91.768287,0,2784,858.778778,694.187943,450,690,554.938353,595,860,63,95,100,8,0,141,88.83,511.7
4.6,25.46875,79.2,-0.059567,17838.409322,91.883064,0,2792,854.922253,723.487087,450,690,554.160757,595,860,63,95,100,8,0,141,88.83,511.7
4.7,25.46875,79.2,-0.009762,17838.411738,92.089237,0,2783,857.084426,740.334426,450,690,566.420113,595,861,63,95,100,8,0,141,88.83,512.295
4.8,25.46875,73.837947,4e-06,17838.413817,92.210402,0,2801,852.983762,737.491881,450,690,585.877274,595,861,63,95,100,8,0,141,88.83,512.295
4.9,25.46875,72.295094,0.008634,17838.411151,92.19781,0,2794,853.474072,737.737036,450,690,599.125701,595,862,63,95,100,8,0,141,88.83,512.89
5,25.46875,74,0.019535,17838.415685,92.259295,0,2807,851.231994,735.356994,450,690,604.965089,595,863,63,95,100,8,0,141,88.83,513.485
5.1,25.46875,74,4e-06,17838.4201,92.32238,0,2803,850.375,608.911303,450,690,606.125,595,863,63,95,100,8,0,141,88.83,513.485
5.2,25.46875,75.2,4e-06,17838.422173,92.589904,0,2810,851.970606,603.568586,450,690,606.303537,595,864,63,95,100,8,0,141,88.83,514.08
5.3,25.46875,76.507962,0.039554,17838.424245,92.731702,0,2805,846.512166,606.576334,450,690,605.892211,595,864,63,95,100,8,0,141,88.83,514.08
5.4,25.46875,76.8,0.079593,17838.427669,92.795747,0,2806,851.625,611.890715,450,690,606.590632,595,865,63,95,100,8,0,141,88.83,514.675
5.5,25.46875,74.47075,-0.018404,17838.431868,92.668991,0,2823,848.3719,600.93905,450,690,608.912832,595,865,63,95,100,8,0,141,88.83,514.675
5.6,25.46875,72.8,-0.10986,17838.435525,92.657218,0,2824,843.266657,602.866636,450,690,608.654744,595,865,63,95,100,8,0,141,88.83,514.675
5.7,25.46875,74,-0.119625,17838.437594,92.90191,0,2822,847.525884,602.724116,450,690,606.76687,595,864,63,95,100,8,0,141,88.83,514.08
5.8,25.46875,74,-0.179684,17838.439662,93.089111,0,2821,845.875,602.179635,450,690,605.51572,595,864,63,95,100,8,0,141,88.83,514.08
5.9,25.46875,74,-0.060744,17838.440696,93.065824,0,2808,847.051085,609.499774,450,690,604.570956,595,864,62,95,100,8,0,141,87.42,514.08
6,25.46875,72.8,0.001128,17838.443439,93.077757,0,2839,843.440608,598.480203,450,690,603.765262,595,864,62,95,100,8,0,141,87.42,514.08
6.1,25.46875,72.8,0.028616,17838.445904,93.156917,0,2823,843.584152,601.861384,450,690,602.139705,595,864,62,95,100,8,0,141,87.42,514.08
6.2,25.46875,74,0.089847,17838.448003,93.321092,0,2836,842.04721,598.29721,450,690,601.140743,595,863,62,95,100,8,0,141,87.42,513.485
